GarageArea,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF
774,1828,3,9,1822
308,894,2,5,894
432,964,2,5,876
857,1689,3,8,1568
843,1541,3,7,1541
400,1221,3,7,1221
440,1324,2,6,1088
484,1416,3,7,696
297,988,2,4,462
440,1218,2,6,735
397,1656,3,7,746
460,1362,3,6,1362
442,1839,2,6,756
451,1375,2,6,1367
528,1122,3,5,924
588,1432,3,5,1360
400,1456,3,7,728
497,1217,3,7,1188
625,1040,2,5,0
528,1224,3,6,612
468,1774,2,7,952
384,1367,2,5,861
297,1360,3,5,803
420,848,3,6,848
749,2262,3,8,1482
396,1220,2,4,836
398,1414,3,7,1375
396,2058,2,6,735
0,1198,2,6,901
499,1659,4,8,1501
308,1012,2,6,1012
672,3082,2,7,824
672,1812,3,5,360
650,1929,3,7,1057
576,954,2,5,911
765,1838,4,9,1838
924,1640,3,6,1296
672,1148,2,5,1148
280,950,2,5,950
471,1911,3,8,777
440,1635,2,6,1065
440,1316,3,7,1316
615,1442,2,6,1442
500,1078,2,5,1078
544,1120,1,4,1040
527,1419,3,8,408
240,1389,2,7,651
280,1063,2,5,1056
874,1792,4,9,1792
402,1216,2,6,1216
576,1762,3,7,596
434,1959,3,7,847
546,1208,2,6,1208
315,1524,2,5,874
240,1154,3,4,796
420,1048,2,5,0
273,886,2,5,190
600,943,2,5,943
603,1768,3,7,866
779,2599,3,9,1393
275,912,2,5,912
308,882,2,5,0
511,1337,3,6,1405
850,2076,4,10,2076
752,2531,3,8,1318
240,1768,3,5,731
538,1625,3,8,1573
389,2144,3,6,1444
880,2775,3,10,1237
477,1868,2,6,585
541,1525,3,7,1525
722,1571,3,8,1571
0,796,2,5,796
432,2372,2,5,994
402,1472,3,7,384
364,960,2,4,648
372,1838,2,5,732
484,1309,3,6,1040
694,2643,4,9,2153
200,1131,2,5,676
400,1960,2,5,960
336,1144,2,5,1144
576,1056,2,6,1056
0,693,1,4,693
576,1494,3,6,1479
482,1646,3,8,1594
352,864,2,5,864
750,1566,3,8,1566
497,1395,2,6,723
539,1208,2,4,780
180,1513,2,5,939
560,1367,2,6,884
386,955,2,5,955
210,1077,2,3,1007
572,1056,2,5,1056
615,1553,3,7,756
865,1614,3,7,1614
1390,2042,4,8,2042
326,1073,2,5,1073
240,1285,2,5,672
550,2117,2,6,1205
0,605,2,4,528
300,1150,2,5,1150
400,1456,3,6,728
588,999,4,7,944
564,1500,3,6,750
375,1336,2,5,1165
398,1593,2,6,839
836,2184,4,9,1104
573,1560,3,7,1560
312,1644,3,5,728
286,630,3,4,630
504,1113,2,6,1143
947,2172,3,7,1063
384,1346,2,4,560
550,2610,4,8,1184
936,1958,3,7,1026
898,1468,3,8,1468
539,1734,3,5,0
240,1200,2,5,768
438,1550,3,7,1092
440,2230,2,4,795
240,1639,2,6,1064
624,864,2,5,864
440,1621,3,7,1208
264,987,3,6,483
628,2519,3,7,1210
440,1365,2,5,765
779,2290,3,8,1128
840,2596,3,9,1249
352,907,2,4,907
440,1456,2,6,855
540,1190,2,5,1106
684,858,2,4,858
516,2223,2,7,2223
672,1005,1,4,1005
409,1895,3,7,712
384,1040,2,5,1040
461,1264,2,5,1268
578,1761,3,7,874
888,1034,2,6,1012
439,1363,2,7,1385
480,1689,2,6,1436
839,2113,3,8,2109
544,1573,3,7,1573
820,2364,4,9,2330
645,2034,3,7,1057
431,1291,3,6,1291
0,858,2,5,858
280,1258,2,6,560
246,438,1,2,290
440,1400,2,6,672
240,954,1,5,920
645,1445,2,6,1127
525,1072,2,6,547
0,1664,2,5,0
441,2134,3,6,844
380,3194,2,8,965
0,1824,2,6,912
422,1756,2,6,872
576,912,3,5,912
600,1509,3,6,1461
216,1608,3,6,976
397,1316,3,6,1316
450,1015,2,5,768
240,1134,2,5,756
865,1636,3,8,1623
400,1320,3,7,660
538,2126,2,5,1013
525,1128,2,5,1120
756,1306,2,5,992
0,1344,2,4,546
704,2554,2,7,718
576,893,3,5,845
668,1933,3,6,894
264,1218,2,6,672
534,1969,2,7,808
556,2090,3,8,1220
487,1484,2,5,1484
506,1656,2,5,1656
210,1224,2,6,818
390,2054,3,6,992
576,854,2,7,832
286,1092,2,4,546
252,1268,3,5,1268
550,1661,3,7,799
502,1668,3,8,1657
508,1493,3,6,1478
306,932,3,6,932
526,1277,2,7,1277
630,1530,3,7,1530
484,1344,2,5,1024
528,860,2,5,840
626,1314,3,7,1314
868,1962,3,7,1391
388,1490,3,7,788
420,848,3,6,848
240,672,2,5,672
252,2340,3,7,1152
180,1656,2,5,660
484,1479,3,7,725
740,1226,3,7,1226
444,2087,3,6,832
576,1158,3,6,1158
480,1154,2,5,1154
527,1724,3,7,880
431,1658,2,6,773
520,1126,3,4,0
300,1393,2,5,816
1014,3447,3,8,728
264,987,2,6,483
0,1355,2,5,644
505,2069,3,7,585
440,1501,2,7,744
908,1976,3,8,1976
758,1563,3,8,1563
288,1111,2,7,572
270,1502,2,7,776
452,1733,2,3,0
706,2728,4,9,1848
264,1302,2,5,630
586,1524,3,7,1332
680,1588,2,4,0
430,1125,2,5,1125
480,1200,3,7,600
520,1640,3,6,798
525,2127,3,7,1223
240,972,2,6,972
466,2020,3,8,1128
596,1144,2,5,1144
288,1352,3,5,1062
484,1316,2,5,926
592,1924,3,8,1086
240,1164,2,5,1164
840,952,2,5,952
0,2358,2,8,684
540,1680,3,6,880
672,1912,2,6,482
480,1004,2,6,1004
305,1230,2,4,747
495,1167,2,5,915
440,1301,1,5,1145
445,1453,3,7,1453
670,1601,3,8,1581
825,1588,3,8,1588
264,1095,2,6,588
368,1050,2,5,1050
432,960,2,4,960
280,1456,2,5,810
462,1489,3,6,1489
786,1726,4,7,1726
484,2082,3,7,1362
484,1339,2,7,1309
1069,2450,3,8,1284
660,1863,3,7,879
396,768,2,5,768
0,334,1,1,0
384,1136,2,6,1136
405,1337,2,6,1237
288,912,2,5,912
264,1812,2,5,864
240,2192,3,5,720
0,1184,2,5,658
308,1889,2,7,925
624,1327,3,5,1063
576,1422,3,6,1422
576,1632,2,5,1632
451,1630,3,7,1630
0,1526,1,3,1013
420,1040,2,4,0
216,1647,1,6,806
576,1981,3,4,1122
418,1644,2,6,1416
868,2574,4,8,1482
520,1824,2,6,764
520,1350,2,6,1248
440,958,2,6,958
370,1848,3,6,833
490,1620,2,4,1281
400,1167,3,6,1158
220,1487,2,6,735
288,892,2,5,892
240,804,3,5,788
0,1140,2,5,1140
483,1796,2,6,780
551,2030,3,6,848
812,2007,4,10,1017
216,691,4,5,691
676,1590,3,8,768
325,1855,2,6,994
442,1804,3,7,994
543,1768,3,7,884
807,3627,3,10,1930
403,1298,3,6,1298
484,1801,2,7,1501
0,630,4,5,630
440,1103,3,6,1103
384,1178,2,4,859
440,1196,2,4,1196
529,1372,3,7,1372
296,1431,2,6,1099
626,1422,3,7,1422
501,1953,3,6,1580
440,1121,2,4,1121
852,2473,3,8,1143
576,1057,2,5,1057
602,1110,3,5,1097
671,2270,3,8,1152
746,2018,4,9,2002
440,1386,2,6,672
1043,1953,3,8,1082
462,1337,3,8,1337
648,2285,3,8,969
826,1718,3,8,1705
484,1086,2,5,1024
660,1555,3,7,1373
567,1902,4,7,1902
693,2514,2,7,1216
528,1224,2,5,1086
460,1054,2,6,1054
676,2612,3,8,1225
288,902,2,5,876
484,2353,4,7,845
299,1392,2,6,689
576,1155,3,5,1109
240,1904,2,5,1208
208,1158,2,6,862
502,1362,2,6,611
429,2291,3,7,975
250,1317,2,4,649
928,1734,4,8,1734
312,1194,2,6,1194
720,1416,2,5,876
354,1383,2,5,1383
871,2002,2,5,1001
474,1496,3,8,1496
660,1604,2,5,984
504,764,2,5,680
476,1732,3,6,741
840,1494,3,7,1494
180,986,2,6,960
397,1145,3,7,1145
0,1484,2,6,742
525,1344,3,6,819
686,1539,3,5,650
656,2504,4,9,1122
528,747,2,4,600
583,2097,3,7,1108
884,4676,4,10,3138
624,1176,2,6,698
0,720,2,4,720
830,1580,3,8,1580
0,1440,2,4,1440
540,1476,3,6,738
570,1500,3,7,1500
216,1348,2,5,884
884,1200,3,5,864
514,1394,2,6,1394
484,1632,3,6,800
336,912,2,5,912
864,2624,2,6,1370
349,1696,2,5,1140
440,1230,2,5,440
440,2727,3,8,853
429,1456,2,6,728
660,864,3,4,864
380,1709,3,6,970
528,1665,3,8,810
656,2646,3,7,1347
595,1640,3,7,798
420,1699,2,3,978
529,1663,3,4,1364
504,1728,2,5,1728
462,1845,3,6,1055
440,1851,3,6,822
776,1489,3,8,1489
300,864,2,6,864
276,1256,2,5,1256
816,816,2,5,816
492,1820,3,7,864
833,2127,3,7,1104
461,1065,2,5,1065
312,1200,2,6,1200
632,1208,3,7,1187
642,2482,3,8,1094
527,1720,3,7,1720
0,840,2,5,672
496,1294,3,6,1278
450,1090,2,5,1090
420,2263,3,8,1141
440,969,2,5,969
1248,894,2,3,894
360,1028,2,5,1008
492,1958,2,6,979
895,1795,3,8,1795
606,1940,4,9,1930
439,1178,3,5,1176
400,1482,1,6,672
554,1428,4,7,1417
338,864,2,5,864
200,1111,2,5,616
420,1470,2,6,680
440,1116,2,6,1116
288,864,3,6,864
498,1297,2,5,1297
264,1113,3,5,1113
577,1501,3,7,1490
614,1547,3,7,756
678,1947,3,7,991
908,1717,3,8,1709
440,1052,2,6,1010
455,2013,2,7,1117
388,1266,3,7,1266
716,2868,4,9,1992
554,2256,3,7,952
494,1414,3,7,1414
471,1721,3,6,928
434,1552,2,6,713
528,1128,2,4,698
358,1118,2,6,1096
574,1728,2,6,1728
711,2448,3,8,1629
452,1473,4,5,1437
400,1717,3,7,1156
400,1166,3,7,856
484,1370,3,8,1370
480,1724,2,6,1680
380,1709,3,7,970
264,987,2,6,483
216,1802,2,7,793
360,2345,2,6,952
264,1068,2,6,1059
533,1617,3,6,1604
336,1244,2,6,1244
252,1180,1,4,700
480,1223,3,7,600
612,1686,2,6,1686
800,1646,3,8,1638
264,1144,2,5,864
639,1797,3,7,939
462,1224,2,4,0
839,1865,3,7,992
308,1056,2,5,1056
820,3140,4,9,1926
492,1212,2,6,506
636,1694,3,8,1686
413,1511,2,6,802
246,1057,3,5,1057
560,2290,2,4,777
786,2183,3,7,1204
594,3222,3,7,1673
512,1716,3,7,880
457,1342,2,6,1372
437,1504,3,7,1346
648,1992,3,8,1053
462,1252,3,7,600
264,999,3,5,999
528,1363,2,4,622
490,1165,2,6,1127
702,1668,3,9,1626
853,2376,3,8,1158
352,1440,2,5,540
388,1470,2,6,794
532,1541,3,7,1541
0,1440,1,4,1440
438,1146,3,7,868
481,1494,4,8,1494
738,2224,4,9,1462
186,1343,2,5,731
683,2452,3,8,1028
540,1977,2,6,816
504,1767,3,7,1064
550,1324,3,8,1324
330,1458,2,6,912
440,1314,3,6,1314
529,1575,3,6,1575
912,1620,4,9,1620
304,1788,2,4,1104
240,913,2,6,814
500,2073,2,6,1542
492,1441,3,8,776
225,1690,2,7,815
576,1437,2,5,1188
508,2156,2,7,1568
0,864,2,5,864
336,1112,2,5,536
746,2243,3,7,700
210,1328,2,4,686
216,968,2,4,656
384,1396,2,6,698
834,1856,4,9,1856
789,2161,4,8,1582
529,1602,3,6,1602
280,1302,2,5,630
393,1509,3,6,783
352,912,2,5,912
420,1664,2,6,1004
576,1694,2,6,1181
220,747,2,4,747
420,1040,2,4,0
493,1660,3,7,831
308,1691,3,5,1026
720,864,3,5,864
264,752,2,6,744
564,1792,3,7,963
474,1626,3,7,764
472,1484,4,8,1476
870,3493,3,7,1470
840,1652,4,9,1652
350,1276,2,5,1276
271,1668,2,6,856
0,1192,2,4,720
504,884,3,5,840
454,2062,2,7,1157
392,827,2,5,0
532,2019,3,7,728
336,1304,2,5,264
216,1368,2,6,684
379,1605,2,3,840
900,2020,4,10,2006
528,1250,3,7,625
757,1624,3,8,1624
360,845,2,4,845
418,1389,2,5,1389
480,968,2,5,968
286,1092,2,4,546
420,848,3,6,848
308,1269,2,5,1269
288,1092,2,5,1092
539,2263,3,7,795
283,952,2,4,952
0,1452,2,4,736
504,1039,2,5,1039
412,1204,2,6,1204
672,1117,2,6,1029
701,2196,3,7,2158
328,985,2,5,985
880,1629,3,8,3206
216,1477,2,7,861
484,980,2,5,980
590,2295,3,7,1095
180,1502,3,6,602
432,2201,3,6,697
836,2078,4,8,1034
0,800,1,2,264
840,1578,4,8,1573
774,1932,4,8,1932
404,1507,2,5,1075
280,900,2,5,882
786,1718,4,10,1700
240,1750,4,5,636
834,2398,3,7,1379
680,1968,4,8,774
532,1536,3,7,1536
200,864,2,3,864
546,3228,3,8,3200
670,2149,3,7,1434
864,2640,3,7,1240
530,1682,2,7,1304
878,2098,4,8,1030
360,864,2,5,864
530,1968,2,5,784
480,1097,2,6,1040
528,1196,3,6,684
451,1920,3,5,1052
576,1728,2,5,1728
577,2031,3,8,1128
297,1196,2,6,1196
360,803,2,5,720
462,1620,2,5,780
1134,2097,4,8,2077
617,1869,4,9,1869
431,1886,3,7,930
308,480,2,2,480
516,1296,2,4,0
288,816,2,4,816
478,1601,2,7,1271
451,1792,2,6,936
796,2520,3,8,1338
796,1144,2,5,1144
621,2601,2,5,612
312,1577,1,6,972
624,970,2,5,970
513,2036,2,7,2136
440,1026,3,6,1026
0,698,2,5,698
576,1533,3,7,1533
660,1382,2,5,720
530,1391,3,7,1391
240,1078,3,5,1078
471,1296,3,8,1267
301,1442,2,6,1442
0,1964,2,5,940
644,1502,3,7,1502
458,1392,2,6,1392
0,1768,2,4,1768
390,1582,2,5,1624
301,958,2,6,958
600,894,2,5,894
402,1224,2,6,1224
846,2332,4,10,1682
430,1269,3,8,1256
712,1776,3,8,1732
390,1456,3,6,728
539,1194,2,6,655
240,1008,3,5,1008
430,1555,3,7,1373
180,1784,2,5,747
280,1108,3,7,637
400,1394,3,5,384
496,1714,2,7,980
294,882,2,5,0
0,1306,1,3,728
288,1217,2,6,626
299,990,2,5,990
691,2452,3,8,1117
420,848,3,6,848
300,1369,2,6,672
676,1218,3,6,1218
672,2555,2,6,588
550,1247,3,8,1247
619,2872,2,6,1330
482,1652,3,8,1600
546,1844,2,6,1844
689,1971,3,7,1113
463,1800,2,6,982
574,1949,3,7,1050
0,630,2,4,630
530,1494,3,7,1494
0,968,2,3,600
508,1274,3,7,1274
364,1520,2,6,1156
528,1285,2,6,660
393,1509,3,7,783
550,1935,2,7,793
0,816,2,6,816
555,1200,3,7,1176
548,1470,2,4,941
528,1656,2,6,1080
240,792,3,5,768
818,1694,3,8,1694
765,1800,3,8,1800
560,2337,2,5,662
315,1846,2,6,1040
576,1026,2,6,940
408,904,2,5,876
484,1126,2,5,1126
872,2468,3,8,1136
540,988,2,6,938
288,1052,2,5,1052
0,1096,2,6,572
484,1141,2,6,1141
484,1790,2,6,732
660,1852,3,8,1004
0,754,2,6,520
513,1344,2,5,624
576,2207,2,7,1947
360,2358,2,6,907
831,2715,3,8,1142
484,1364,3,7,1364
402,1253,2,7,1237
528,1328,2,6,1328
286,1422,2,5,978
486,1986,2,7,768
192,952,1,6,952
500,1660,3,8,1660
1166,2234,4,9,2216
160,790,2,6,768
396,1340,3,7,1340
480,1610,3,6,1610
600,2620,2,5,1361
438,1248,3,7,1248
288,912,3,6,912
472,1638,2,6,943
1356,1622,2,4,1249
180,2320,3,6,1028
456,1144,2,5,1144
281,1520,2,5,793
472,1516,2,6,1516
675,1498,3,7,1498
560,1961,3,6,804
440,1456,3,7,728
349,2403,2,7,1032
708,1944,4,9,1896
474,1368,3,7,1368
588,1790,3,7,873
858,2713,4,9,1452
312,1271,2,5,720
604,1872,2,7,1845
577,2090,3,7,1190
546,1796,2,6,794
436,1302,3,7,1302
542,2524,3,8,2524
338,1374,2,4,840
474,1626,3,7,764
240,1034,2,5,735
588,1518,4,8,1518
240,1818,2,7,1040
598,1661,3,7,1649
432,1991,2,6,854
324,1482,2,7,650
564,1742,3,8,1742
280,1250,1,5,686
528,1176,2,6,816
506,1915,3,8,908
240,1595,2,6,940
377,1661,3,6,992
552,1935,2,8,832
534,1795,3,8,1777
434,1928,3,7,847
336,1159,2,5,1051
440,1456,2,6,855
431,1954,3,7,798
880,2028,3,8,1868
665,2898,3,8,1565
663,1674,3,7,814
0,974,2,5,974
586,1989,3,8,1065
678,2097,3,7,1080
500,1442,2,7,1424
720,1130,2,5,1120
240,1820,2,7,1026
583,2119,2,6,689
666,2576,4,8,1234
0,1020,2,5,780
779,1774,2,4,1095
0,904,1,1,683
490,1382,3,7,673
840,3608,4,10,1107
205,2210,1,6,1008
373,1572,2,6,806
739,1824,3,7,1643
304,1056,2,5,1056
392,1221,2,5,784
504,1362,2,6,1362
420,848,3,6,848
527,1434,3,7,1454
628,1208,3,7,1208
566,1466,3,5,796
691,1987,3,8,1986
983,2418,3,7,1311
626,1314,3,7,1314
380,1709,3,7,970
0,1218,2,6,672
0,3395,1,6,1440
0,1200,2,5,1200
297,912,2,5,912
832,4316,4,10,2444
548,1710,3,7,856
656,2374,4,8,1181
234,1564,1,7,704
528,1466,1,5,1466
292,1383,2,6,1383
410,1535,2,5,0
576,990,2,5,990
240,1646,2,7,918
440,1928,1,6,1020
550,1725,2,7,539
541,2872,3,8,1683
576,2112,2,6,952
240,1324,2,4,672
480,1200,3,7,600
468,1344,2,5,672
500,1668,3,7,840
400,1040,2,3,0
576,900,3,5,900
812,1559,2,5,1559
248,948,2,4,864
264,923,2,6,923
782,1552,3,7,1552
642,1717,3,7,756
440,1721,2,5,1461
264,987,2,6,483
521,1200,3,6,1200
281,1716,2,5,768
336,894,2,5,894
336,1771,2,5,0
528,1173,3,7,1053
576,1287,3,5,1063
459,1382,2,4,1051
721,2520,3,7,1203
297,1215,2,6,1215
844,2526,3,8,1165
480,1200,3,7,600
560,1728,2,5,1728
480,1710,2,7,576
870,2392,3,8,1396
457,1744,3,7,996
562,1665,3,7,813
792,2696,4,7,1264
528,864,2,4,864
234,672,2,4,672
564,1320,2,5,1164
440,958,2,6,1078
550,1710,3,7,1710
502,1265,3,5,1219
400,1456,3,8,1273
576,1539,2,5,927
766,1959,2,7,1907
0,1522,2,5,1008
0,1124,2,5,0
484,2090,2,7,1107
461,1214,2,5,1214
454,1779,2,5,1763
808,1629,3,8,1616
627,1554,3,8,1554
642,2236,3,7,964
0,796,2,4,796
308,1680,2,6,840
420,848,3,6,848
528,1142,2,5,1142
564,1252,2,6,1602
564,1684,4,9,1684
888,2000,3,8,2000
834,1616,3,7,1616
531,1872,4,8,1299
225,1576,2,5,1042
575,1982,3,7,807
276,988,2,5,876
620,1844,3,8,1844
528,1258,3,6,1258
500,1288,4,8,1260
866,1634,3,8,1626
440,1322,2,6,855
403,1414,3,8,707
478,1504,3,7,1504
690,1670,3,7,1670
518,2167,3,7,1192
440,1069,2,6,1069
525,1072,2,6,547
995,1572,2,5,1572
456,1869,2,5,1088
0,882,2,4,882
676,1922,3,9,1922
352,780,2,5,780
300,1601,2,5,533
430,1530,3,7,1530
0,833,2,5,833
308,1183,2,3,649
260,1040,2,5,1040
1052,2828,3,8,1466
288,1252,2,6,1032
305,1246,3,5,1246
180,904,2,6,884
416,1652,2,5,686
288,1268,2,5,832
342,1913,2,6,896
484,1358,3,7,1358
484,1657,2,6,1657
275,838,1,6,816
390,2060,3,7,992
474,1626,3,7,764
299,1352,2,6,663
240,1376,2,5,768
240,1660,2,6,715
432,1412,3,6,616
216,1469,2,6,756
400,1430,2,7,384
495,1094,2,6,1094
758,1826,3,8,1814
576,924,2,5,672
528,1502,3,8,1488
603,1688,3,6,616
572,1262,3,6,1262
788,1905,4,9,1905
541,2031,3,7,1153
478,1350,2,6,1064
613,1829,3,7,941
300,965,2,5,828
280,924,1,4,672
905,2263,3,8,1055
540,2108,3,6,1127
528,1242,2,7,1242
240,1573,3,4,884
434,2035,3,7,884
516,1232,2,6,1232
483,1964,2,7,803
0,1140,2,4,576
450,894,3,5,894
619,2654,3,6,1054
396,768,2,5,768
0,912,2,4,0
504,2080,1,5,1040
576,1040,3,5,1040
216,1616,3,6,1149
273,1047,2,4,641
484,1803,2,5,1134
528,832,3,6,832
384,894,2,5,894
189,1192,2,5,596
772,1850,3,9,1833
288,899,3,5,864
264,892,2,5,864
506,2291,2,6,1214
360,2138,2,5,849
470,1604,2,6,926
422,2021,3,7,868
308,938,2,5,938
216,1426,3,7,912
400,1920,2,5,928
260,1098,2,5,1098
0,729,2,3,270
528,1252,3,6,1252
792,1584,2,5,1584
592,1506,4,9,1498
506,1709,3,9,1698
299,1092,2,5,1092
758,1746,4,9,1746
667,2287,2,7,1304
200,789,2,5,768
270,1041,2,5,1041
431,1908,3,8,967
390,2267,3,6,1010
180,875,2,5,715
364,1526,2,5,1216
714,1567,3,6,1567
1020,2822,4,9,1734
360,1378,3,7,689
368,1738,2,4,715
521,2060,2,6,1151
286,1128,2,5,936
440,1720,3,7,840
338,1050,2,5,1050
576,1114,3,6,1114
750,1053,4,5,1008
682,1593,4,8,1593
318,1214,2,5,1214
264,816,3,5,816
400,1535,2,5,0
795,3112,3,8,1360
685,1919,3,8,1079
672,1097,2,5,1097
423,1750,2,6,983
288,987,2,6,483
576,981,2,6,981
447,1700,3,5,1398
308,816,2,5,816
622,1840,3,7,944
576,2521,2,6,942
902,1002,2,5,1002
294,841,2,4,721
564,996,3,6,936
856,1713,4,8,1713
576,1412,3,6,1392
923,1236,2,6,912
648,1040,2,4,1064
608,1616,3,8,1595
601,1414,2,6,1184
576,1950,3,7,975
490,1086,2,5,1086
528,1576,3,5,1324
624,768,2,5,768
676,1381,3,6,1161
647,2169,3,8,1284
287,720,2,3,0
520,2792,2,6,1510
576,936,2,4,936
588,1181,2,4,1138
954,1689,3,7,1689
280,948,2,4,948
440,1512,3,6,756
450,894,2,5,894
644,1852,3,7,900
290,845,2,4,0
0,774,3,3,544
666,3238,3,8,2033
632,1232,3,7,1232
528,1164,2,7,1164
160,1248,2,5,912
572,1687,2,5,747
440,1960,3,6,860
286,1092,2,4,546
400,894,2,4,894
558,1479,3,7,1453
270,1060,3,5,1060
484,1436,3,7,1436
504,1044,1,5,540
320,1768,2,7,880
432,816,2,6,816
400,1430,2,7,384
303,1867,2,5,1617
648,1500,3,7,1356
312,1100,2,4,1100
264,816,2,5,816
308,1328,2,5,1350
842,2296,4,10,1722
572,864,2,5,864
453,1266,3,7,1257
0,858,2,4,858
506,1710,3,6,832
264,1123,2,4,732
460,1647,2,6,953
288,874,2,5,864
522,1788,4,8,1753
416,1839,3,6,1477
484,1868,3,5,780
588,1712,2,5,1626
462,1229,2,6,561
890,1600,3,8,1566
460,1600,2,6,916
240,1344,2,5,896
540,1126,4,5,1126
264,923,2,5,876
205,616,2,5,616
0,1800,2,5,1800
505,1505,2,6,1505
621,1647,3,5,1430
451,1132,3,4,1132
470,1764,3,6,928
240,1529,2,4,0
336,2447,3,6,804
457,1504,3,7,1346
220,1163,2,3,1162
440,1525,3,6,756
288,935,2,5,935
270,813,3,6,813
230,2008,4,5,896
514,2329,3,7,1475
282,1558,2,5,910
528,1664,2,7,832
522,2110,4,7,2110
684,1786,3,6,824
336,1475,2,5,757
256,1387,3,5,811
380,1708,3,7,976
440,1734,3,6,912
520,2414,2,5,954
493,1908,3,7,915
506,1283,2,5,931
573,1212,3,7,1212
672,1548,4,7,952
384,980,2,5,980
470,1811,4,6,1073
384,1056,2,4,1056
484,1234,3,8,1234
440,1302,2,5,630
0,1406,1,6,319
576,858,2,5,858
736,2324,4,9,1175
414,910,3,5,105
442,1611,2,6,780
400,1560,3,6,684
630,2020,2,5,0
582,1338,3,8,1338
312,1188,2,5,1188
527,1459,3,7,1459
533,2260,3,7,1306
605,1430,3,7,1413
0,996,2,5,996
504,1092,2,6,1092
625,1250,3,7,625
572,1728,3,7,864
280,924,2,5,924
530,1199,3,6,1199
300,948,2,5,948
429,925,2,5,925
366,835,2,5,458
610,2466,3,8,1580
487,2157,3,7,924
572,1060,2,5,1040
804,2633,4,10,2633
280,1048,2,5,993
460,1664,2,6,953
360,784,2,6,784
473,1279,2,6,1196
284,1229,2,4,1134
244,1268,2,5,1268
480,1428,3,7,1428
352,1125,2,6,1041
275,1008,2,5,1008
860,1630,4,8,1622
673,1728,3,6,864
322,1211,2,5,952
286,1040,2,5,1040
511,1707,2,8,1686
462,1632,2,7,935
528,1392,2,5,1392
270,1319,2,5,608
390,1484,3,6,742
300,971,2,5,971
539,1062,2,6,1029
0,980,2,6,945
478,1405,3,7,1405
472,1671,2,6,959
495,1074,2,5,1056
672,2320,2,5,0
264,918,2,6,918
528,1437,3,5,1437
440,1069,2,6,1069
441,1556,2,6,727
510,1894,3,7,817
895,1973,3,8,1935
564,2978,3,7,710
420,848,3,6,848
400,1474,2,7,384
260,1056,2,5,1056
484,902,2,5,864
564,1032,2,6,1032
338,1077,2,5,961
480,1235,2,5,1235
719,1442,3,7,910
264,987,2,6,483
504,1004,2,6,975
0,1006,2,5,1006
0,1716,1,5,780
565,1720,3,7,860
308,960,1,4,960
660,1604,3,7,1604
621,2217,3,8,2217
540,1844,3,6,1844
380,1571,2,6,799
577,1479,3,7,1468
529,1786,2,5,1499
338,1632,2,6,1240
578,1768,3,8,866
299,1096,2,5,1096
542,2093,2,7,791
453,1348,2,6,660
410,1456,3,7,728
319,1600,2,5,1484
544,1700,3,6,1682
389,1593,2,6,808
288,1363,2,5,1008
440,1441,2,6,855
866,1710,3,8,1710
463,2110,3,7,948
475,1479,3,6,725
367,767,2,7,723
426,1496,3,7,654
648,1567,4,8,1520
308,1148,2,5,980
753,1970,4,8,1085
750,2810,3,8,1453
696,2630,3,8,1470
480,2274,2,5,1105
433,1261,2,6,1261
480,1486,2,5,1486
240,773,2,5,773
462,1537,3,6,1319
546,1779,3,7,866
0,1225,2,4,950
420,848,3,6,848
198,1376,2,6,780
440,1471,2,6,729
0,869,1,4,440
440,1458,2,6,729
440,894,2,5,864
427,1718,2,7,832
611,1701,2,5,1390
576,864,2,4,864
512,1855,2,6,528
616,1651,2,6,1606
528,1224,3,6,612
288,928,2,5,928
0,1092,1,4,0
546,1641,4,7,728
776,1416,2,6,708
736,1904,4,8,1058
308,936,2,5,936
452,1556,2,6,716
400,864,2,4,864
900,1654,3,7,1654
576,1416,3,5,816
856,2365,3,8,1252
436,1067,3,4,1067
539,1902,2,6,0
420,1557,3,7,1374
486,1839,2,7,1195
